City,Latitude,Longitude,County,
Brandon,27.94,-82.3,Polk,
Branford town,29.96,-82.93,Hillsborough,
Brent,30.47,-87.25,Suwannee,
Brewster,27.76,-81.98,Escambia,
Briny Breezes town,26.51,-80.05,Palm Beach,
Bristol city,30.43,-84.98,Liberty,
Broadview Park,26.1,-80.21,Broward,
Bronson town,29.45,-82.64,Levy,
Brooker town,29.89,-82.33,Bradford,
Brookridge,28.55,-82.49,Hernando,
Brooksville city,28.54,-82.39,Hernando,
Brownsdale,30.89,-87.22,Santa Rosa,
Brownsville,25.82,-80.24,Miami-Dade,
Buckhead Ridge,27.13,-80.89,Glades,
Buckingham,26.66,-81.74,Lee,
Buenaventura Lakes,28.33,-81.35,Osceola,
Bunnell city,29.42,-81.32,Flagler,
Burnt Store Marina,26.76,-82.05,Lee,
Bushnell city,28.67,-82.12,Sumter,
Butler Beach,29.8,-81.27,Saint Johns,
Cabana Colony,26.86,-80.09,Palm Beach,
Callahan town,30.56,-81.83,Nassau,
Callaway city,30.14,-85.56,Bay,
Campbell,28.26,-81.45,Osceola,
Campbellton town,30.95,-85.4,Jackson,
Canal Point,26.86,-80.62,Palm Beach,
Cape Canaveral city,28.39,-80.61,Brevard,
Cape Coral city,26.64,-82,Lee,
Captiva,26.48,-82.21,Lee,
Carrabelle city,29.85,-84.67,Franklin,
Carrollwood,28.06,-82.51,Hillsborough,
Caryville town,30.78,-85.81,Holmes,
Casselberry city,28.66,-81.32,Seminole,
Cedar Grove,30.18,-85.63,Bay,
Cedar Key city,29.15,-83.04,Levy,
Celebration,28.31,-81.55,Osceola,
Center Hill city,28.63,-82,Sumter,
Century town,30.98,-87.26,Escambia,
Charleston Park,26.71,-81.58,Lee,
Charlotte Harbor,26.96,-82.06,Charlotte,
Charlotte Park,26.9,-82.05,Charlotte,
Chattahoochee city,30.7,-84.83,Gadsden,
Cheval,28.15,-82.52,Hillsborough,
Chiefland city,29.49,-82.87,Levy,
Chipley city,30.78,-85.54,Washington,
Chokoloskee,25.81,-81.36,Collier,
Christmas,28.52,-81,Orange,
Chuluota,28.64,-81.12,Seminole,
Chumuckla,30.78,-87.23,Santa Rosa,
Cinco Bayou town,30.42,-86.61,Okaloosa,
Citrus Hills,28.89,-82.43,Citrus,
Citrus Park,28.07,-82.56,Hillsborough,
Citrus Springs,28.99,-82.46,Citrus,
Clarcona,28.62,-81.5,Orange,
Clearwater city,27.98,-82.77,Pinellas,
Clermont city,28.54,-81.73,Lake,
Cleveland,26.95,-81.99,Charlotte,
Clewiston city,26.75,-80.94,Glades,
Cloud Lake town,26.67,-80.07,Hendry,
Cobbtown,30.88,-87.12,Palm Beach,
Cocoa Beach city,28.33,-80.63,Santa Rosa,
Cocoa city,28.38,-80.77,Brevard,
Cocoa West,28.36,-80.77,Brevard,
Coconut Creek city,26.28,-80.18,Brevard,
Coleman city,28.8,-82.07,Broward,
Combee Settlement,28.06,-81.91,Sumter,
Connerton,28.3,-82.46,Polk,
Conway,28.5,-81.33,Pasco,
Cooper City city,26.05,-80.29,Orange,
Coral Gables city,25.68,-80.25,Broward,
Coral Springs city,26.27,-80.26,Miami-Dade,
Coral Terrace,25.75,-80.3,Broward,
Cortez,27.47,-82.67,Miami-Dade,
Cottondale town,30.79,-85.36,Manatee,
Country Club,25.94,-80.31,Jackson,
Country Walk,25.63,-80.44,Miami-Dade,
Crawfordville,30.2,-84.36,Miami-Dade,
Crescent Beach,29.73,-81.24,Wakulla,
Crescent City city,29.44,-81.52,Saint Johns,
Crestview city,30.75,-86.58,Putnam,
Crooked Lake Park,27.83,-81.59,Okaloosa,
Cross City town,29.64,-83.12,Polk,
Crystal Lake,28.04,-81.91,Dixie,
Crystal River city,28.9,-82.6,Polk,
Crystal Springs,28.18,-82.15,Citrus,
Cudjoe Key,24.67,-81.5,Pasco,
Cutler Bay town,25.58,-80.34,Monroe,
Cypress Gardens,28,-81.69,Miami-Dade,
Cypress Lake,26.54,-81.9,Polk,
Cypress Quarters,27.25,-80.81,Lee,
Dade City city,28.36,-82.19,Okeechobee,
Dade City North,28.38,-82.19,Pasco,
Dania Beach city,26.06,-80.16,Pasco,
Davenport city,28.16,-81.61,Broward,
Davie town,26.08,-80.29,Polk,
Day,30.19,-83.29,Broward,
Daytona Beach city,29.2,-81.09,Lafayette,
Daytona Beach Shores city,29.17,-80.98,Volusia,
De Funiak Springs city,30.71,-86.12,Volusia,
De Leon Springs,29.12,-81.35,Walton,
DeBary city,28.88,-81.32,Volusia,
Deerfield Beach city,26.3,-80.13,Volusia,
DeLand city,29.02,-81.29,Broward,
DeLand Southwest,29.01,-81.31,Volusia,
Delray Beach city,26.46,-80.09,Volusia,
Deltona city,28.91,-81.21,Palm Beach,
Desoto Lakes,27.37,-82.5,Volusia,
Destin city,30.39,-86.47,Sarasota,
Dickerson City,30.48,-87.07,Okaloosa,
Dixonville,30.99,-87.04,Santa Rosa,
Doctor Phillips,28.45,-81.49,Santa Rosa,
Doral city,25.81,-80.36,Orange,
Dover,27.99,-82.22,Miami-Dade,
Duck Key,24.77,-80.91,Hillsborough,
Dundee town,28.01,-81.6,Monroe,
Dunedin city,28.04,-82.8,Polk,
Dunnellon city,29.05,-82.44,Pinellas,
Eagle Lake city,27.98,-81.76,Marion,
East Bronson,29.46,-82.59,Polk,
East Lake,28.12,-82.69,Levy,
East Lake-Orient Park,28,-82.37,Hillsborough,
East Milton,30.62,-86.96,Pinellas,
East Palatka,29.65,-81.6,Santa Rosa,
East Williston,29.39,-82.42,Putnam,
Eastpoint,29.75,-84.87,Levy,
Eatonville town,28.62,-81.39,Franklin,
Ebro town,30.44,-85.88,Orange,
Edgewater city,28.96,-80.94,Washington,
Edgewood city,28.49,-81.38,Volusia,
Eglin AFB,30.46,-86.55,Orange,
Egypt Lake-Leto,28.02,-82.51,Okaloosa,
El Portal village,25.86,-80.2,Hillsborough,
Elfers,28.21,-82.72,Miami-Dade,
Ellenton,27.53,-82.53,Pasco,
Englewood,26.96,-82.35,Manatee,
Ensley,30.53,-87.27,Charlotte,
Estero,26.42,-81.8,Sarasota,
Esto town,30.98,-85.64,Escambia,
Eustis city,28.86,-81.68,Lee,
Everglades city,25.86,-81.39,Holmes,
Fairview Shores,28.6,-81.39,Lake,
Fanning Springs city,29.59,-82.93,Collier,
Feather Sound,27.91,-82.68,Marion,
Fellsmere city,27.74,-80.62,Orange,
Fern Park,28.65,-81.35,Gilchrist,
Fernandina Beach city,30.66,-81.45,Levy,
Ferndale,28.62,-81.7,Pinellas,
Ferry Pass,30.52,-87.19,Indian River,
Fidelis,30.93,-87.02,Seminole,
Fish Hawk,27.85,-82.22,Nassau,
Fisher Island,25.76,-80.14,Lake,
Five Points,30.22,-82.65,Escambia,
Flagler Beach city,29.47,-81.13,Santa Rosa,
Flagler Estates,29.64,-81.46,Hillsborough,
Fleming Island,30.1,-81.71,Miami-Dade,
Floral City,28.71,-82.31,Columbia,
Florida City city,25.44,-80.47,Flagler,
Florida Ridge,27.58,-80.38,Volusia,
Floridatown,30.58,-87.16,St. Johns,
Forest City,28.66,-81.44,Clay,
Fort Denaud,26.74,-81.52,Citrus,
Fort Green,27.63,-81.94,Miami-Dade,
Fort Green Springs,27.59,-81.94,Indian River,
Fort Lauderdale city,26.14,-80.14,St. Lucie,
Fort Meade city,27.75,-81.8,Santa Rosa,
Fort Myers Beach town,26.43,-81.92,Seminole,
Fort Myers city,26.62,-81.83,Hendry,
Fort Myers Shores,26.71,-81.74,Hardee,
Fort Pierce city,27.43,-80.34,Hardee,
Fort Pierce North,27.47,-80.36,Broward,
Fort Pierce South,27.41,-80.35,Polk,
Fort Walton Beach city,30.42,-86.62,Lee,
Fort White town,29.92,-82.71,Lee,
Fountainebleau,25.77,-80.35,Lee,
Four Corners,28.33,-81.65,Saint Lucie,
Franklin Park,26.13,-80.18,Saint Lucie,
Freeport city,30.5,-86.14,Saint Lucie,
Frostproof city,27.75,-81.53,Okaloosa,
Fruit Cove,30.1,-81.62,Columbia,
Fruitland Park city,28.86,-81.92,Miami-Dade,
Fruitville,27.33,-82.46,Lake,
Fuller Heights,27.92,-82,Polk,
Fussels Corner,28.06,-81.86,Orange,
Gainesville city,29.68,-82.35,Osceola,
Garcon Point,30.48,-87.09,Broward,
Garden Grove,28.47,-82.43,Walton,
Gardner,27.35,-81.79,Polk,
Gateway,26.58,-81.75,Saint Johns,
Geneva,28.74,-81.11,Lake,
Gibsonton,27.83,-82.38,Sarasota,
Gifford,27.67,-80.41,Polk,
Gladeview,25.84,-80.24,Polk,
Glen Ridge town,26.67,-80.08,Alachua,
Glen St. Mary town,30.28,-82.16,Santa Rosa,
Glencoe,29.01,-80.97,Hernando,
Glenvar Heights,25.71,-80.32,Hardee,
Golden Beach town,25.97,-80.12,Lee,
Golden Gate,26.18,-81.7,Seminole,
Golden Glades,25.91,-80.2,Hillsborough,
Goldenrod,28.61,-81.29,Indian River,
Golf village,26.5,-80.11,Miami-Dade,
Gonzalez,30.58,-87.29,Palm Beach,
Goodland,25.92,-81.65,Baker,
Gotha,28.53,-81.52,Miami-Dade,
Goulding,30.44,-87.23,Miami-Dade,
Goulds,25.56,-80.39,Miami-Dade,
Graceville city,30.96,-85.51,Collier,
Grand Ridge town,30.71,-85.02,Miami-Dade,
Grant-Valkaria town,27.93,-80.57,Orange,
Green Cove Springs city,29.99,-81.68,Seminole,
Greenacres city,26.63,-80.14,Palm Beach,
Greenbriar,28.01,-82.75,Escambia,
Greensboro town,30.57,-84.74,Collier,
Greenville town,30.47,-83.64,Orange,
Greenwood town,30.87,-85.16,Escambia,
Grenelefe,28.06,-81.55,Miami-Dade,
Gretna city,30.59,-84.68,Jackson,
Grove City,26.91,-82.33,Jackson,
Groveland city,28.6,-81.82,Brevard,
Gulf Breeze city,30.37,-87.18,Clay,
Gulf Gate Estates,27.26,-82.51,Palm Beach,
Gulf Stream town,26.49,-80.06,Pinellas,
Gulfport city,27.75,-82.71,Gadsden,
Gun Club Estates,26.68,-80.11,Madison,
Haines City city,28.11,-81.62,Jackson,
Hallandale Beach city,25.99,-80.14,Polk,
Hampton city,29.86,-82.14,Gadsden,
Harbor Bluffs,27.91,-82.83,Charlotte,
Harbour Heights,26.99,-82.01,Lake,
Harlem,26.73,-80.95,Santa Rosa,
Harlem Heights,26.52,-81.93,Sarasota,
Harold,30.68,-86.83,Palm Beach,
Hastings town,29.71,-81.51,Pinellas,
Havana town,30.63,-84.41,Hillsborough,
Haverhill town,26.69,-80.12,Polk,
Hawthorne city,29.59,-82.08,Broward,
Heathrow,28.78,-81.37,Bradford,
Heritage Pines,28.43,-82.63,Pinellas,
Hernando Beach,28.48,-82.66,Charlotte,
Hernando,28.95,-82.38,Hendry,
Hialeah city,25.87,-80.3,Lee,
Hialeah Gardens city,25.89,-80.36,Santa Rosa,
High Point,28.55,-82.52,Saint Johns,
High Springs city,29.81,-82.6,Gadsden,
Highland Beach town,26.41,-80.06,Palm Beach,
Highland City,27.96,-81.88,Alachua,
Highland Park village,27.86,-81.56,Seminole,
Hill 'n Dale,28.52,-82.29,Pasco,
Hillcrest Heights town,27.82,-81.53,Citrus,
Hilliard town,30.69,-81.92,Hernando,
Hillsboro Beach town,26.28,-80.08,Miami-Dade,
Hillsboro Pines,26.33,-80.2,Miami-Dade,
Hobe Sound,27.07,-80.14,Hernando,
Holden Heights,28.5,-81.39,Alachua,
Holiday,28.19,-82.74,Palm Beach,
Holley,30.45,-86.9,Polk,
Holly Hill city,29.24,-81.05,Polk,
Hollywood city,26.03,-80.16,Hernando,
Holmes Beach city,27.51,-82.72,Polk,
Homeland,27.82,-81.83,Nassau,
Homestead Base,25.49,-80.39,Broward,
Homestead city,25.47,-80.45,Broward,
Homosassa,28.78,-82.61,Martin,
Homosassa Springs,28.81,-82.54,Orange,
Horizon West,28.44,-81.61,Pasco,
Horseshoe Beach town,29.45,-83.28,Santa Rosa,
Hosford,30.39,-84.8,Volusia,
Howey-in-the-Hills town,28.71,-81.78,Broward,
Hudson,28.36,-82.69,Manatee,
Hunters Creek,28.36,-81.42,Polk,
Hutchinson Island South,27.33,-80.21,Miami-Dade,
Hypoluxo town,26.56,-80.05,Miami-Dade,
Immokalee,26.43,-81.43,Citrus,
Indialantic town,28.09,-80.57,Citrus,
Indian Creek village,25.88,-80.14,Orange,
Indian Harbour Beach city,28.15,-80.6,Dixie,
Indian River Estates,27.36,-80.3,Liberty,
Indian River Shores town,27.71,-80.39,Lake,
Indian Rocks Beach city,27.9,-82.84,Pasco,
Indian Shores town,27.85,-82.85,Orange,
Indiantown,27.04,-80.47,St. Lucie,
Inglis town,29.03,-82.66,Palm Beach,
Interlachen town,29.62,-81.9,Collier,
Inverness city,28.84,-82.34,Brevard,
Inverness Highlands North,28.86,-82.38,Miami-Dade,
Inverness Highlands South,28.8,-82.34,Brevard,
Inwood,28.04,-81.77,St. Lucie,
Iona,26.52,-81.96,Indian River,
"Islamorada, Village of Islands village",24.94,-80.61,Pinellas,
Island Walk,26.25,-81.71,Pinellas,
Islandia city,25.43,-80.19,Martin,
Istachatta,28.66,-82.27,Levy,
Ives Estates,25.96,-80.18,Putnam,
Jacksonville Beach city,30.28,-81.37,Citrus,
Jacksonville city,30.34,-81.66,Citrus,
Jacob City city,30.89,-85.41,Citrus,
Jan Phyl Village,28.02,-81.79,Polk,
Jasmine Estates,28.29,-82.69,Lee,
Jasper city,30.51,-82.95,Monroe,
Jay town,30.95,-87.15,Collier,
Jennings town,30.6,-83.11,Hernando,
Jensen Beach,27.24,-80.24,Broward,
June Park,28.07,-80.69,Miami-Dade,
Juno Beach town,26.88,-80.06,Duval,
Juno Ridge,26.85,-80.06,Duval,
Jupiter Farms,26.92,-80.22,Jackson,
Jupiter Inlet Colony town,26.95,-80.08,Polk,
Jupiter Island town,27.04,-80.11,Pasco,
Jupiter town,26.92,-80.11,Hamilton,
Kathleen,28.12,-82.04,Santa Rosa,
Kendale Lakes,25.71,-80.41,Hamilton,
Kendall,25.67,-80.36,Martin,
Kendall West,25.71,-80.44,Brevard,
Kenneth City town,27.82,-82.72,Palm Beach,
Kensington Park,27.36,-82.49,Palm Beach,
Kenwood Estates,26.63,-80.11,Palm Beach,
Key Biscayne village,25.69,-80.17,Palm Beach,
Key Colony Beach city,24.72,-81.02,Palm Beach,
Key Largo,25.12,-80.41,Martin,
Key Vista,28.19,-82.77,Polk,
Key West city,24.56,-81.78,Miami-Dade,
Keystone,28.13,-82.6,Miami-Dade,
Keystone Heights city,29.78,-82.03,Miami-Dade,
Kissimmee city,28.3,-81.42,Pinellas,
La Crosse town,29.84,-82.38,Sarasota,
LaBelle city,26.72,-81.45,Palm Beach,
Lacoochee,28.47,-82.17,Miami-Dade,
Lady Lake town,28.92,-81.93,Monroe,
Laguna Beach,30.26,-85.95,Monroe,
Lake Alfred city,28.1,-81.73,Pasco,
Lake Belvedere Estates,26.69,-80.14,Monroe,
Lake Buena Vista city,28.38,-81.53,Hillsborough,
Lake Butler,28.49,-81.54,Clay,
Lake Butler city,30.02,-82.34,Osceola,
Lake City city,30.19,-82.65,Alachua,
Lake Clarke Shores town,26.65,-80.08,Hendry,
Lake Hamilton town,28.05,-81.63,Pasco,
Lake Harbor,26.69,-80.81,Lake,
Lake Hart,28.39,-81.23,Bay,
Lake Helen city,28.98,-81.23,Polk,
Lake Kathryn,29.01,-81.49,Palm Beach,
Lake Lindsey,28.63,-82.36,Orange,
Lake Lorraine,30.44,-86.57,Orange,
Lake Mack-Forest Hills,29,-81.42,Union,
Lake Magdalene,28.09,-82.48,Columbia,
Lake Mary city,28.76,-81.34,Palm Beach,
Lake Mary Jane,28.39,-81.17,Polk,
Lake Mystic,30.39,-84.99,Palm Beach,
Lake Panasoffkee,28.79,-82.13,Orange,
Lake Park town,26.8,-80.07,Volusia,
Lake Placid town,27.3,-81.37,Lake,
Lake Sarasota,27.29,-82.44,Hernando,
Lake Wales city,27.92,-81.6,Okaloosa,
Lake Worth city,26.62,-80.06,Lake,
Lakeland city,28.06,-81.95,Hillsborough,
Lakeland Highlands,27.96,-81.95,Seminole,
Lakeside,30.14,-81.77,Orange,
Lakewood Gardens,26.62,-80.1,Liberty,
Lakewood Park,27.54,-80.39,Sumter,
Lamont,30.38,-83.81,Palm Beach,
Land O' Lakes,28.21,-82.45,Highlands,
Lantana town,26.58,-80.06,Sarasota,
Largo city,27.91,-82.77,Polk,
Lauderdale Lakes city,26.17,-80.2,Palm Beach,
Lauderdale-by-the-Sea town,26.2,-80.09,Polk,
Lauderhill city,26.16,-80.22,Polk,
Laurel,27.14,-82.46,Clay,
Laurel Hill city,30.96,-86.46,Saint Lucie,
Lawtey city,30.05,-82.07,Jefferson,
Layton city,24.82,-80.81,Pasco,
Lazy Lake village,26.16,-80.15,Palm Beach,
Lealman,27.82,-82.68,Pinellas,
Lecanto,28.84,-82.49,Broward,
Lee town,30.41,-83.3,Broward,
Leesburg city,28.77,-81.9,Broward,
Lehigh Acres,26.61,-81.64,Sarasota,
Leisure City,25.49,-80.44,Okaloosa,
Lely,26.1,-81.73,Bradford,
Lely Resort,26.09,-81.7,Monroe,
Lemon Grove,27.58,-81.64,Broward,
Lighthouse Point city,26.28,-80.09,Pinellas,
Limestone,27.37,-81.9,Citrus,
Limestone Creek,26.94,-80.14,Madison,
Lisbon,28.88,-81.78,Lake,
Live Oak city,30.3,-82.98,Lee,
Lloyd,30.48,-84.02,Miami-Dade,
Lochmoor Waterway Estates,26.64,-81.91,Collier,
Lockhart,28.63,-81.44,Collier,
Longboat Key town,27.39,-82.64,Hardee,
Longwood city,28.7,-81.35,Broward,
Loughman,28.24,-81.57,Hardee,
Lower Grand Lagoon,30.14,-85.75,Palm Beach,
Loxahatchee Groves town,26.71,-80.28,Lake,
Lutz,28.14,-82.45,Suwannee,
Lynn Haven city,30.24,-85.64,Jefferson,
Macclenny city,30.28,-82.12,Lee,
Madeira Beach city,27.8,-82.79,Orange,
Madison city,30.47,-83.42,Manatee,
Maitland city,28.63,-81.37,Sarasota,
Malabar town,27.99,-80.58,Seminole,
Malone town,30.96,-85.16,Polk,
Manalapan town,26.56,-80.01,Bay,
Manasota Key,26.92,-82.35,Palm Beach,
Manatee Road,29.51,-82.92,Hillsborough,
Mango,27.99,-82.31,Bay,
Mangonia Park town,26.76,-80.08,Baker,
Marathon city,24.73,-81.04,Pinellas,
Marco Island city,25.93,-81.7,Madison,
Margate city,26.25,-80.21,Orange,
Marianna city,30.78,-85.24,Brevard,
Marineland town,29.66,-81.21,Jackson,
Mary Esther city,30.41,-86.66,Palm Beach,
Masaryktown,28.44,-82.46,Charlotte,
Mascotte city,28.61,-81.91,Levy,
Matlacha,26.63,-82.07,Hillsborough,
Matlacha Isles-Matlacha Shores,26.63,-82.06,Palm Beach,
Mayo town,30.05,-83.18,Monroe,
McGregor,26.56,-81.91,Collier,
McIntosh town,29.45,-82.22,Broward,
Meadow Oaks,28.35,-82.6,Jackson,
Meadow Woods,28.37,-81.35,Flagler,
Medley town,25.86,-80.35,St. Johns,
Medulla,27.96,-81.99,Okaloosa,
Melbourne Beach town,28.07,-80.56,Hernando,
Melbourne city,28.12,-80.65,Lake,
Melbourne Village town,28.09,-80.67,Lee,
Memphis,27.54,-82.56,Lee,
Merritt Island,28.31,-80.67,Lafayette,
Mexico Beach city,29.95,-85.41,Lee,
Miami Beach city,25.82,-80.14,Marion,
Miami city,25.78,-80.21,Pasco,
Miami Gardens city,25.94,-80.24,Orange,
Miami Lakes town,25.91,-80.32,Miami-Dade,
Miami Shores village,25.87,-80.18,Polk,
Miami Springs city,25.82,-80.29,Brevard,
Micanopy town,29.51,-82.28,Brevard,
Micco,27.87,-80.51,Brevard,
Middleburg,30.05,-81.9,Manatee,
Midway,30.41,-87.03,Brevard,
Midway,28.79,-81.23,Bay,
Midway city,30.5,-84.46,Miami-Dade,
Milton city,30.63,-87.05,Miami-Dade,
Mims,28.69,-80.85,Miami-Dade,
Minneola city,28.61,-81.73,Miami-Dade,
Miramar Beach,30.39,-86.34,Miami-Dade,
Miramar city,25.98,-80.34,Miami-Dade,
Molino,30.71,-87.32,Alachua,
Monticello city,30.54,-83.87,Brevard,
Montura,26.64,-81.09,Clay,
Montverde town,28.6,-81.68,Gadsden,
Moon Lake,28.3,-82.6,Seminole,
Moore Haven city,26.83,-81.1,Santa Rosa,
Morriston,29.28,-82.44,Santa Rosa,
Mount Carmel,30.99,-87.12,Brevard,
Mount Dora city,28.81,-81.63,Lake,
Mount Plymouth,28.8,-81.54,Broward,
Mulat,30.56,-87.13,Walton,
Mulberry city,27.9,-81.99,Escambia,
Munson,30.84,-86.89,Jefferson,
Myrtle Grove,30.42,-87.3,Hendry,
Naples city,26.15,-81.79,Lake,
Naples Manor,26.09,-81.73,Pasco,
Naples Park,26.26,-81.81,Glades,
Naranja,25.52,-80.42,Levy,
Nassau Village-Ratliff,30.51,-81.81,Santa Rosa,
Navarre Beach,30.38,-86.89,Lake,
Navarre,30.42,-86.89,Lake,
Neptune Beach city,30.32,-81.38,Santa Rosa,
New Port Richey city,28.25,-82.72,Polk,
New Port Richey East,28.26,-82.69,Santa Rosa,
New Smyrna Beach city,29.02,-80.96,Escambia,
Newberry city,29.63,-82.6,Collier,
Niceville city,30.53,-86.48,Collier,
Nobleton,28.65,-82.26,Collier,
Nocatee,30.09,-81.41,Miami-Dade,
Nokomis,27.12,-82.44,Nassau,
Noma town,30.98,-85.62,Santa Rosa,
North Bay Village city,25.85,-80.15,Santa Rosa,
North Brooksville,28.57,-82.37,Duval,
North DeLand,29.05,-81.3,Pasco,
North Fort Myers,26.72,-81.85,Pasco,
North Key Largo,25.26,-80.32,Volusia,
North Lauderdale city,26.21,-80.22,Alachua,
North Miami Beach city,25.93,-80.17,Okaloosa,
North Miami city,25.9,-80.17,Hernando,
North Palm Beach village,26.82,-80.06,Desoto,
North Port city,27.06,-82.2,Sarasota,
North Redington Beach town,27.82,-82.82,Holmes,
North River Shores,27.22,-80.27,Miami-Dade,
North Sarasota,27.37,-82.52,Hernando,
North Weeki Wachee,28.56,-82.55,Volusia,
Northdale,28.11,-82.53,Lee,
Oak Hill city,28.88,-80.83,Monroe,
Oak Ridge,28.47,-81.42,Broward,
Oakland Park city,26.18,-80.15,Miami-Dade,
Oakland town,28.55,-81.63,Miami-Dade,
Oakleaf Plantation,30.17,-81.83,Palm Beach,
Ocala city,29.18,-82.15,Sarasota,
Ocean Breeze Park town,27.24,-80.23,Pinellas,
Ocean City,30.44,-86.61,Martin,
Ocean Ridge town,26.53,-80.05,Sarasota,
Ocoee city,28.58,-81.53,Hernando,
Odessa,28.18,-82.55,Hillsborough,
Ojus,25.96,-80.16,Volusia,
Okahumpka,28.75,-81.9,Orange,
Okeechobee city,27.24,-80.83,Orange,
Oldsmar city,28.05,-82.67,Broward,
Olga,26.71,-81.7,Clay,
Olympia Heights,25.72,-80.34,Marion,
Ona,27.48,-81.91,Martin,
Opa-locka city,25.9,-80.26,Okaloosa,
Orange City city,28.93,-81.29,Palm Beach,
Orange Park town,30.17,-81.7,Orange,
Orangetree,26.29,-81.58,Pasco,
Orchid town,27.77,-80.42,Miami-Dade,
Oriole Beach,30.37,-87.1,Lake,
Orlando city,28.48,-81.35,Okeechobee,
Orlovista,28.54,-81.46,Pinellas,
Ormond Beach city,29.3,-81.09,Lee,
Ormond-by-the-Sea,29.34,-81.07,Miami-Dade,
Osprey,27.19,-82.48,Hardee,
Otter Creek town,29.32,-82.77,Miami-Dade,
Oviedo city,28.66,-81.19,Volusia,
Pace,30.62,-87.17,Clay,
Page Park,26.58,-81.86,Collier,
Pahokee city,26.82,-80.66,Indian River,
Paisley,28.99,-81.54,Santa Rosa,
Palatka city,29.65,-81.66,Orange,
Palm Bay city,27.99,-80.66,Orange,
Palm Beach Gardens city,26.85,-80.17,Volusia,
Palm Beach Shores town,26.78,-80.03,Volusia,
Palm Beach town,26.69,-80.04,Sarasota,
Palm City,27.17,-80.29,Levy,
Palm Coast city,29.54,-81.25,Seminole,
Palm Harbor,28.09,-82.76,Santa Rosa,
Palm River-Clair Mel,27.92,-82.38,Lee,
Palm Shores town,28.19,-80.66,Palm Beach,
Palm Springs North,25.94,-80.33,Lake,
