LeadID,city,ConvertedDate,Closed Date,Stage,Stage
00Q4wx1231Q2aBw,Zolfo Springs town,8-Oct-21,14-Oct-21,Canceled,
00Q4wx1231Q37xL,Merritt Island,8-Oct-21,12-Oct-21,Canceled,
00Q4wx1231Q3kCV,Bear Creek,6-Nov-21,17-Nov-21,Visit,
00Q4wx1231Q3l4e,Maitland city,6-Nov-21,11-Nov-21,Engineering/Quoting,
00Q4wx1231Q3gak,Miami Gardens city,5-Nov-21,5-Nov-21,Quote,
00Q4wx1231Q3jug,Plant City city,6-Nov-21,10-Nov-21,Canceled,
00Q4wx1231Q3Hxa,Pine Island,15-Oct-21,20-Oct-21,Visit,
00Q4wx1231Q3H6d,Merritt Island,15-Oct-21,19-Oct-21,Closed Lost,
00Q4wx1231Q3IME,Apalachicola city,15-Oct-21,25-Oct-21,Closed Won,
00Q4wx1231Q3IL1,Matlacha Isles-Matlacha Shores,15-Oct-21,20-Oct-21,Scheduling Visit,
00Q4wx1231Q3EtV,Lantana town,15-Oct-21,22-Oct-21,Visit,
00Q4wx1231Q3Gfu,Hosford,15-Oct-21,19-Oct-21,Closed Won,
00Q4wx1231Q3H8A,Pasadena Hills,15-Oct-21,26-Oct-21,Closed Lost,
00Q4wx1231Q23AO,Wausau town,14-Sep-21,23-Sep-21,Quote,
00Q4wx1231Q3q2u,Cocoa West,30-Nov-21,3-Dec-21,Scheduling Visit,
00Q4wx1231Q4JCN,Limestone Creek,30-Nov-21,3-Dec-21,Engineering/Quoting,
00Q4wx1231Q4Hgo,Belleair Beach city,4-Dec-21,13-Dec-21,Quote,
00Q4wx1231Q4QUk,Fruitland Park city,4-Dec-21,10-Dec-21,Closed Won,
00Q4wx1231Q4IuW,Plantation Mobile Home Park,4-Dec-21,10-Dec-21,Canceled,
00Q4wx1231Q4RXJ,Fort White town,4-Dec-21,10-Dec-21,Quote,
00Q4wx1231Q3WEP,Williamsburg,23-Oct-21,8-Nov-21,Closed Lost,
00Q4wx1231Q3W1u,South Pasadena city,23-Oct-21,5-Nov-21,Canceled,
00Q4wx1231Q3WBz,Shady Hills,23-Oct-21,25-Oct-21,Engineering/Quoting,
00Q4wx1231Q3Gve,Tavernier,15-Oct-21,19-Oct-21,Visit,
00Q4wx1231Q3ILQ,Micco,15-Oct-21,21-Oct-21,Canceled,
00Q4wx1231Q3AzS,Harlem,16-Oct-21,20-Oct-21,Closed Won,
00Q4wx1231Q3If5,Palmetto Estates,15-Oct-21,22-Oct-21,Canceled,
00Q4wx1231Q4WiZ,Graceville city,11-Dec-21,16-Dec-21,Visit,
00Q4wx1231Q23gM,Steinhatchee,14-Sep-21,8-Nov-21,Engineering/Quoting,
00Q4wx1231Q4C5U,Homosassa Springs,25-Nov-21,6-Dec-21,Engineering/Quoting,
00Q4wx1231Q3wKg,Chiefland city,13-Nov-21,15-Nov-21,Quote,
00Q4wx1231Q3EGr,Baldwin town,14-Oct-21,14-Oct-21,Closed Lost,
00Q4wx1231Q2cwd,La Crosse town,30-Sep-21,30-Sep-21,Closed Won,
00Q4wx1231Q2w0E,Olga,1-Oct-21,30-Sep-21,Quote,
00Q4wx1231Q3lG6,Milton city,9-Nov-21,15-Nov-21,Engineering/Quoting,
00Q4wx1231Q3sh7,Wabasso,12-Nov-21,12-Nov-21,Closed Lost,
00Q4wx1231Q2e73,Middleburg,23-Sep-21,13-Oct-21,Engineering/Quoting,
00Q4wx1231Q21CM,Lake Mary city,9-Sep-21,13-Sep-21,Scheduling Visit,
00Q4wx1231Q3gGi,Butler Beach,30-Oct-21,3-Nov-21,Scheduling Visit,
00Q4wx1231Q37Xc,East Palatka,8-Oct-21,11-Oct-21,Closed Lost,
00Q4wx1231Q3jAF,Milton city,5-Nov-21,8-Nov-21,Visit,
00Q4wx1231Q3feo,Molino,5-Nov-21,8-Nov-21,Scheduling Visit,
00Q4wx1231Q3B9X,Nokomis,15-Oct-21,15-Oct-21,Scheduling Visit,
00Q4wx1231Q4BXp,San Carlos Park,2-Dec-21,7-Dec-21,Closed Won,
00Q4wx1231Q49GW,Weeki Wachee city,2-Dec-21,17-Dec-21,Canceled,
00Q4wx1231Q4H46,Bay Lake city,24-Nov-21,10-Dec-21,Closed Lost,
00Q4wx1231Q4BgD,Sebastian city,24-Nov-21,8-Dec-21,Scheduling Visit,
00Q4wx1231Q3z3A,St. Augustine South,24-Nov-21,24-Nov-21,Engineering/Quoting,
00Q4wx1231Q3937,Lauderhill city,12-Oct-21,13-Oct-21,Quote,
00Q4wx1231Q3jqK,Plantation Island,5-Nov-21,8-Nov-21,Engineering/Quoting,
00Q4wx1231Q3nEP,Pine Air,10-Nov-21,14-Dec-21,Scheduling Visit,
00Q4wx1231Q29GT,Palm Springs village,10-Nov-21,10-Nov-21,Scheduling Visit,
00Q4wx1231Q37m8,Lake Panasoffkee,7-Oct-21,28-Oct-21,Quote,
00Q4wx1231Q37Py,Bay Pines,5-Oct-21,5-Oct-21,Closed Won,
00Q4wx1231Q34oD,Inverness Highlands North,5-Oct-21,6-Oct-21,Scheduling Visit,
00Q4wx1231Q3kue,Lake Mary Jane,4-Nov-21,11-Nov-21,Closed Won,
00Q4wx1231Q3j92,Greenacres city,3-Nov-21,19-Nov-21,Visit,
00Q4wx1231Q3kN9,Crescent Beach,4-Nov-21,17-Nov-21,Visit,
00Q4wx1231Q47pf,Paisley,18-Nov-21,19-Nov-21,Canceled,
00Q4wx1231Q326W,Ocean Ridge town,30-Sep-21,1-Oct-21,Closed Won,
00Q4wx1231Q2zqS,Samsula-Spruce Creek,30-Sep-21,20-Oct-21,Visit,
00Q4wx1231Q326C,Grant-Valkaria town,30-Sep-21,1-Oct-21,Visit,
00Q4wx1231Q31y8,Center Hill city,30-Sep-21,7-Oct-21,Closed Won,
00Q4wx1231Q1wpo,River Park,30-Sep-21,23-Nov-21,Canceled,
00Q4wx1231Q3AOg,Pinellas Park city,9-Oct-21,11-Oct-21,Scheduling Visit,
00Q4wx1231Q2BLY,Fort Pierce city,18-Sep-21,20-Sep-21,Visit,
00Q4wx1231Q2ADb,Tildenville,18-Sep-21,20-Sep-21,Visit,
00Q4wx1231Q3nbl,Sewall's Point town,9-Nov-21,12-Nov-21,Engineering/Quoting,
00Q4wx1231Q1x0w,Ocean Ridge town,9-Sep-21,18-Sep-21,Closed Lost,
00Q4wx1231Q1zqE,Sugarmill Woods,8-Sep-21,7-Sep-21,Canceled,
00Q4wx1231Q4Rlk,Zephyrhills North,8-Dec-21,15-Dec-21,Engineering/Quoting,
00Q4wx1231Q2nh5,Masaryktown,25-Sep-21,29-Sep-21,Closed Lost,
00Q4wx1231Q2lSE,Lakeland Highlands,25-Sep-21,29-Sep-21,Scheduling Visit,
00Q4wx1231Q3bFC,Plantation city,28-Oct-21,23-Nov-21,Scheduling Visit,
00Q4wx1231Q3bMS,Westgate,27-Oct-21,3-Nov-21,Closed Lost,
00Q4wx1231Q3d1c,Virginia Gardens village,27-Oct-21,28-Oct-21,Engineering/Quoting,
00Q4wx1231Q4ApO,East Milton,20-Nov-21,24-Nov-21,Closed Lost,
00Q4wx1231Q2Zbu,Redington Shores town,22-Sep-21,22-Sep-21,Engineering/Quoting,
00Q4wx1231Q3Pm2,Highland Park village,22-Oct-21,25-Oct-21,Closed Won,
00Q4wx1231Q391b,Lely Resort,8-Oct-21,25-Oct-21,Closed Won,
00Q4wx1231Q3koL,Chokoloskee,6-Nov-21,10-Nov-21,Visit,
00Q4wx1231Q3U9k,Cape Canaveral city,5-Nov-21,5-Nov-21,Engineering/Quoting,
00Q4wx1231Q3CT0,West Park city,12-Oct-21,12-Oct-21,Quote,
00Q4wx1231Q3CTP,Bay Harbor Islands town,12-Oct-21,12-Oct-21,Canceled,
00Q4wx1231Q3IRU,Grand Ridge town,15-Oct-21,3-Dec-21,Scheduling Visit,
00Q4wx1231Q1vYN,Windermere town,3-Sep-21,3-Sep-21,Closed Lost,
00Q4wx1231Q1vui,Hampton city,4-Sep-21,6-Oct-21,Canceled,
00Q4wx1231Q29DA,Olympia Heights,15-Sep-21,22-Sep-21,Engineering/Quoting,
00Q4wx1231Q27el,Callahan town,15-Sep-21,17-Sep-21,Quote,
00Q4wx1231Q4Sbh,Holmes Beach city,7-Dec-21,7-Dec-21,Canceled,
00Q4wx1231Q3TUp,Jensen Beach,23-Oct-21,26-Oct-21,Visit,
00Q4wx1231Q3B22,Middleburg,15-Oct-21,20-Oct-21,Engineering/Quoting,
00Q4wx1231Q4I1j,Lely Resort,2-Dec-21,3-Dec-21,Visit,
00Q4wx1231Q4Uyk,Clewiston city,8-Dec-21,8-Dec-21,Scheduling Visit,
00Q4wx1231Q2cUF,Lealman,21-Sep-21,22-Sep-21,Visit,
00Q4wx1231Q3EXc,Rotonda,12-Oct-21,14-Oct-21,Visit,
00Q4wx1231Q3jqU,Clermont city,5-Nov-21,5-Nov-21,Scheduling Visit,
00Q4wx1231Q3gpV,West Pensacola,2-Nov-21,2-Nov-21,Engineering/Quoting,
00Q4wx1231Q27zQ,Lake Magdalene,16-Sep-21,28-Sep-21,Quote,
00Q4wx1231Q27zz,Pine Hills,16-Sep-21,28-Sep-21,Visit,
00Q4wx1231Q3fCt,Keystone,10-Nov-21,12-Nov-21,Quote,
00Q4wx1231Q3f7j,Coleman city,10-Nov-21,10-Nov-21,Engineering/Quoting,
00Q4wx1231Q3wFM,Hypoluxo town,17-Nov-21,17-Nov-21,Quote,
00Q4wx1231Q30bO,Warrington,29-Sep-21,6-Oct-21,Canceled,
00Q4wx1231Q2ytp,Jan Phyl Village,29-Sep-21,5-Oct-21,Quote,
00Q4wx1231Q31dm,Gulfport city,30-Sep-21,1-Oct-21,Canceled,
00Q4wx1231Q2ywF,Belleair town,30-Sep-21,18-Oct-21,Scheduling Visit,
00Q4wx1231Q4WEh,Midway city,10-Dec-21,9-Dec-21,Closed Lost,
00Q4wx1231Q4W7l,Maitland city,10-Dec-21,9-Dec-21,Scheduling Visit,
00Q4wx1231Q39gv,Wimauma,9-Oct-21,13-Oct-21,Engineering/Quoting,
00Q4wx1231Q3BR7,Jennings town,9-Oct-21,12-Oct-21,Closed Won,
00Q4wx1231Q494a,Gulf Stream town,19-Nov-21,8-Dec-21,Closed Lost,
00Q4wx1231Q3w9d,Astor,20-Nov-21,24-Nov-21,Closed Won,
00Q4wx1231Q3sWd,Cudjoe Key,12-Nov-21,16-Nov-21,Visit,
00Q4wx1231Q3sP9,Boca Raton city,12-Nov-21,1-Dec-21,Closed Lost,
00Q4wx1231Q3Kyj,Five Points,20-Oct-21,21-Oct-21,Canceled,
00Q4wx1231Q3NGj,South Bay city,20-Oct-21,26-Oct-21,Engineering/Quoting,
00Q4wx1231Q2nt5,Royal Palm Estates,23-Sep-21,25-Sep-21,Canceled,
00Q4wx1231Q2lQS,Fernandina Beach city,23-Sep-21,22-Sep-21,Closed Won,
00Q4wx1231Q2dnS,Chuluota,24-Sep-21,15-Oct-21,Quote,
00Q4wx1231Q3bOJ,South Highpoint,26-Oct-21,29-Oct-21,Quote,
00Q4wx1231Q3GZH,Forest City,26-Oct-21,3-Nov-21,Quote,
00Q4wx1231Q3WHn,Buckhead Ridge,26-Oct-21,26-Oct-21,Visit,
00Q4wx1231Q3gHR,Vineyards,30-Oct-21,2-Nov-21,Closed Won,
00Q4wx1231Q2812,Cape Coral city,16-Sep-21,28-Sep-21,Visit,
00Q4wx1231Q38rt,North Palm Beach village,8-Oct-21,2-Dec-21,Engineering/Quoting,
00Q4wx1231Q39tW,Gateway,12-Oct-21,26-Oct-21,Scheduling Visit,
00Q4wx1231Q39j1,Nobleton,12-Oct-21,13-Oct-21,Closed Lost,
00Q4wx1231Q3IIb,Holly Hill city,15-Oct-21,18-Oct-21,Canceled,
00Q4wx1231Q3H4I,Oakleaf Plantation,15-Oct-21,19-Oct-21,Canceled,
00Q4wx1231Q3Huv,Woodville,15-Oct-21,26-Oct-21,Closed Won,
00Q4wx1231Q3BFB,Seville,14-Oct-21,1-Nov-21,Engineering/Quoting,
00Q4wx1231Q3HoY,Winter Garden city,15-Oct-21,21-Oct-21,Closed Lost,
00Q4wx1231Q23UB,Lehigh Acres,14-Sep-21,23-Sep-21,Canceled,
00Q4wx1231Q2906,Babson Park,15-Sep-21,21-Sep-21,Closed Won,
00Q4wx1231Q281M,Oak Ridge,15-Sep-21,28-Sep-21,Quote,
00Q4wx1231Q28zw,Flagler Beach city,15-Sep-21,21-Sep-21,Quote,
00Q4wx1231Q4QXt,Watergate,4-Dec-21,13-Dec-21,Closed Lost,
00Q4wx1231Q33Xm,Cross City town,16-Oct-21,21-Oct-21,Engineering/Quoting,
00Q4wx1231Q3JQP,Titusville city,15-Oct-21,25-Oct-21,Visit,
00Q4wx1231Q3CI6,Neptune Beach city,16-Oct-21,21-Oct-21,Scheduling Visit,
00Q4wx1231Q24kv,Kissimmee city,14-Sep-21,23-Sep-21,Engineering/Quoting,
00Q4wx1231Q3Mz0,Indiantown,29-Oct-21,1-Nov-21,Visit,
00Q4wx1231Q3euu,Virginia Gardens village,29-Oct-21,2-Nov-21,Engineering/Quoting,
00Q4wx1231Q3KQG,Sugarmill Woods,22-Oct-21,25-Oct-21,Closed Lost,
00Q4wx1231Q3KVa,Hollywood city,22-Oct-21,22-Oct-21,Scheduling Visit,
00Q4wx1231Q3ONE,Fort Lauderdale city,22-Oct-21,21-Oct-21,Visit,
00Q4wx1231Q3PYv,Whitfield,22-Oct-21,25-Oct-21,Engineering/Quoting,
00Q4wx1231Q3Nzf,Dade City city,21-Oct-21,26-Oct-21,Engineering/Quoting,
00Q4wx1231Q4QRW,Whitfield,3-Dec-21,8-Dec-21,Canceled,
00Q4wx1231Q4Hw5,Ocean City,2-Dec-21,7-Dec-21,Quote,
00Q4wx1231Q4Hch,Wesley Chapel,2-Dec-21,1-Dec-21,Closed Won,
00Q4wx1231Q4I7F,Alva,2-Dec-21,6-Dec-21,Closed Won,
00Q4wx1231Q4NWO,Noma town,2-Dec-21,3-Dec-21,Closed Lost,
00Q4wx1231Q3sMs,Bradley Junction,3-Dec-21,15-Dec-21,Visit,
00Q4wx1231Q4HbA,White City,2-Dec-21,6-Dec-21,Quote,
00Q4wx1231Q4RMr,Lamont,3-Dec-21,15-Dec-21,Engineering/Quoting,
00Q4wx1231Q3fH0,Jasper city,24-Nov-21,9-Dec-21,Engineering/Quoting,
00Q4wx1231Q2vAV,Fort Pierce North,2-Oct-21,29-Oct-21,Closed Won,
00Q4wx1231Q2c5f,Spring Hill,21-Sep-21,25-Sep-21,Engineering/Quoting,
00Q4wx1231Q3CFC,Mount Dora city,13-Oct-21,28-Oct-21,Closed Won,
00Q4wx1231Q3k4M,Palm Beach Gardens city,5-Nov-21,8-Nov-21,Closed Won,
00Q4wx1231Q3C5l,Kensington Park,10-Nov-21,2-Dec-21,Closed Won,
00Q4wx1231Q3rQP,Coral Terrace,10-Nov-21,15-Nov-21,Scheduling Visit,
00Q4wx1231Q3qqN,South Miami Heights,10-Nov-21,9-Nov-21,Scheduling Visit,
00Q4wx1231Q3r9s,Jacob City city,10-Nov-21,17-Nov-21,Closed Lost,
00Q4wx1231Q3lCT,Cutler Bay town,10-Nov-21,15-Nov-21,Visit,
00Q4wx1231Q39tq,South Miami Heights,7-Oct-21,21-Oct-21,Closed Won,
00Q4wx1231Q34sA,Pine Manor,5-Oct-21,14-Oct-21,Engineering/Quoting,
00Q4wx1231Q34VE,Eagle Lake city,7-Oct-21,1-Nov-21,Quote,
00Q4wx1231Q34tI,Micanopy town,6-Oct-21,13-Oct-21,Closed Lost,
00Q4wx1231Q37RQ,Jupiter Farms,6-Oct-21,13-Oct-21,Scheduling Visit,
00Q4wx1231Q3jsV,Cinco Bayou town,3-Nov-21,3-Nov-21,Closed Lost,
00Q4wx1231Q3k26,Indian Rocks Beach city,4-Nov-21,16-Nov-21,Closed Won,
00Q4wx1231Q3ijP,Coral Springs city,2-Nov-21,4-Nov-21,Canceled,
00Q4wx1231Q3lDg,Desoto Lakes,4-Nov-21,4-Nov-21,Engineering/Quoting,
00Q4wx1231Q3z7E,Mount Carmel,17-Nov-21,18-Nov-21,Closed Lost,
00Q4wx1231Q3KYF,Laurel,16-Nov-21,17-Nov-21,Canceled,
00Q4wx1231Q33Pi,Edgewood city,1-Oct-21,14-Oct-21,Visit,
00Q4wx1231Q1uJZ,Avon Park city,14-Dec-21,14-Dec-21,Closed Won,
00Q4wx1231Q3idM,Miami Springs city,2-Nov-21,2-Nov-21,Visit,
00Q4wx1231Q2Kok,Pine Air,17-Sep-21,22-Sep-21,Canceled,
00Q4wx1231Q2AHn,New Port Richey East,18-Sep-21,23-Sep-21,Visit,
00Q4wx1231Q2A1B,Lakewood Gardens,18-Sep-21,23-Sep-21,Closed Lost,
00Q4wx1231Q2AFr,Largo city,18-Sep-21,21-Sep-21,Engineering/Quoting,
00Q4wx1231Q3tlL,Medulla,20-Nov-21,3-Dec-21,Closed Lost,
00Q4wx1231Q3sgx,Brownsville,12-Nov-21,12-Nov-21,Canceled,
00Q4wx1231Q3sTA,Zephyrhills North,12-Nov-21,18-Nov-21,Canceled,
00Q4wx1231Q38eA,Cloud Lake town,19-Oct-21,17-Nov-21,Closed Lost,
00Q4wx1231Q3Mlc,Brooksville city,19-Oct-21,27-Oct-21,Visit,
00Q4wx1231Q3O2F,Tyndall AFB,20-Oct-21,21-Oct-21,Scheduling Visit,
00Q4wx1231Q3Mg3,Cypress Lake,20-Oct-21,19-Oct-21,Scheduling Visit,
00Q4wx1231Q3KWO,Harlem,20-Oct-21,26-Oct-21,Canceled,
00Q4wx1231Q3F5R,Union Park,20-Oct-21,2-Nov-21,Closed Lost,
00Q4wx1231Q2eI6,Palmetto Bay village,23-Sep-21,18-Oct-21,Visit,
00Q4wx1231Q2dpO,Timber Pines,23-Sep-21,29-Sep-21,Canceled,
00Q4wx1231Q2o9p,Westchester,24-Sep-21,25-Sep-21,Canceled,
00Q4wx1231Q2nqG,Taylor Creek,23-Sep-21,29-Oct-21,Visit,
00Q4wx1231Q2e5g,Taft,24-Sep-21,27-Sep-21,Visit,
00Q4wx1231Q20Lo,North Miami city,9-Sep-21,11-Oct-21,Canceled,
00Q4wx1231Q1vgq,Moon Lake,9-Sep-21,9-Sep-21,Closed Won,
00Q4wx1231Q2unz,Warm Mineral Springs,25-Sep-21,28-Sep-21,Canceled,
00Q4wx1231Q2o59,Ocala city,25-Sep-21,28-Sep-21,Closed Won,
00Q4wx1231Q3TRC,Altamonte Springs city,28-Oct-21,2-Nov-21,Closed Won,
00Q4wx1231Q4BtT,Fort Denaud,20-Nov-21,30-Nov-21,Scheduling Visit,
00Q4wx1231Q3TPB,Ocoee city,26-Oct-21,29-Oct-21,Quote,
00Q4wx1231Q3W5m,St. Augustine Beach city,26-Oct-21,17-Nov-21,Closed Lost,
00Q4wx1231Q3gEI,Chiefland city,30-Oct-21,3-Nov-21,Quote,
00Q4wx1231Q3gh7,Bunnell city,30-Oct-21,15-Nov-21,Engineering/Quoting,
00Q4wx1231Q2dih,Lake Mack-Forest Hills,22-Sep-21,23-Sep-21,Canceled,
00Q4wx1231Q2cvu,White Springs town,22-Sep-21,23-Sep-21,Closed Won,
